t_s,cpu_pct,pss_mb,java_heap_mb,native_heap_mb
1,66.6,1095,43,407
7,53.8,1087,32,371
13,65.6,1103,44,359
21,67.7,1088,31,351
31,156,1093,34,352
39,257,1109,51,353
45,42.3,1104,36,363
50,36.0,1096,32,358
56,129,1112,48,350
61,44.0,1102,34,355
67,40.0,1099,31,354
72,50.0,1103,30,349
78,48.0,1109,34,350
85,53.5,1106,30,351
90,50.0,1106,31,351
97,125,1106,31,351
102,228,1107,31,351
108,57.6,1109,32,352
114,73.0,1109,31,352
119,42.3,1117,31,357
125,52.0,1116,32,356
130,48.0,1119,33,352
136,44.0,1117,31,352
142,76.9,1116,31,350
148,179,1118,32,349
153,133,1117,31,349
160,121,1118,31,349
166,50.0,1116,32,348
172,57.6,1118,32,349
178,57.6,1118,32,349
183,84.6,1116,31,346
189,129,1116,31,347
195,61.5,1117,32,347
201,92.5,1117,31,347
212,127,1117,32,347
218,100,1113,32,347
225,135,1111,31,346
231,53.5,1121,35,349
237,110,1119,33,349
243,57.6,1118,31,350
248,81.4,1120,32,350
255,116,1120,32,350
264,103,1129,34,354
270,77.7,1136,37,356
277,169,1132,32,356
282,73.0,1152,41,364
288,161,1155,36,369
294,203,1135,35,347
300,69.2,1141,37,350
