t_s,cpu_pct,rss_mb,threads
1,246,1613,145
6,54,1675,146
11,17,1644,138
16,36,1646,146
21,47,1716,140
26,28,1773,143
31,42,1650,143
37,32,1283,136
42,145,1060,149
48,118,1506,149
54,231,1290,151
60,133,1101,151
68,190,986,176
78,247,1599,173
86,213,1003,168
92,61,1014,164
99,161,935,178
106,75,911,173
112,101,953,164
117,36,2047,167
122,81,2059,166
127,47,2089,168
132,53,2131,168
137,14,2138,162
142,37,2137,167
149,127,1750,180
154,42,1077,163
161,145,1569,170
168,94,1654,170
174,115,1610,177
180,171,1084,167
186,117,1120,173
192,124,1104,179
199,265,968,177
207,117,840,166
217,95,1570,182
222,51,988,169
228,47,867,172
238,159,938,175
244,137,944,182
250,53,970,174
256,47,947,167
267,36,909,172
273,80,1002,186
281,225,1567,185
288,123,924,179
295,55,935,176
301,82,969,181
