t_s,cpu_pct,rss_mb,threads
1,51,1829,51
6,39,1331,44
11,20,1305,48
17,25,1364,43
22,41,1334,43
27,69,1375,46
32,41,1461,47
38,43,1911,51
43,38,1900,43
49,44,1935,47
56,130,1836,52
61,44,1498,53
66,79,1268,42
71,55,1366,45
76,24,1400,45
82,36,1311,51
87,64,1344,43
92,36,1259,47
97,9,1904,45
102,36,1830,42
107,49,1862,42
112,16,1937,51
117,27,1955,41
122,43,1859,57
127,54,1894,45
133,10,1896,44
138,29,1927,43
143,64,1490,43
148,63,1389,50
153,39,1279,49
158,30,1274,45
163,26,1250,45
168,21,1300,43
173,18,1304,50
179,54,1302,41
184,59,1297,59
189,26,1354,50
194,17,1938,43
199,57,1865,44
205,32,1878,49
210,54,1950,49
215,18,1367,46
220,32,1351,50
225,29,1431,44
231,43,1414,44
236,35,1365,43
241,34,1295,43
246,26,1265,44
252,67,1344,48
258,40,1295,47
267,101,1261,64
273,124,1441,45
279,65,1952,49
284,28,2023,48
289,43,2076,44
294,32,2080,44
299,32,1527,43
305,25,1383,50
310,20,1346,44
315,22,1421,48
320,38,1363,44
325,56,1465,45
330,84,1504,44
335,16,1973,44
340,20,1963,43
345,45,2029,43
350,44,2007,43
355,19,2061,43
360,62,2077,50
365,17,2049,45
370,13,1926,43
375,9,1352,42
381,26,1361,41
386,27,1384,49
391,15,1314,43
396,46,1353,42
402,24,1383,50
407,63,1389,43
413,40,1309,46
420,45,1981,49
425,43,2033,50
430,32,1907,51
435,23,1504,43
440,36,1310,50
446,19,1340,45
451,30,1387,44
456,52,1465,49
461,64,1515,45
466,74,1459,45
471,51,1353,45
476,28,1464,43
482,104,1726,43
487,58,2046,43
492,22,2118,44
497,32,2037,43
502,75,1966,52
507,38,2053,44
512,25,2107,45
517,23,1923,45
522,29,1456,44
527,28,1503,48
532,64,1368,40
537,34,1456,47
543,94,1482,57
549,13,2049,45
554,40,2054,44
559,13,2008,48
564,51,1811,44
570,66,1411,48
576,67,1444,43
581,41,1549,43
586,20,1588,48
593,135,1439,43
598,52,1942,45
